,umap-0,umap-1,umap-2
0,,,
1,,,
2,7.305184314276389,7.146665226657097,-5.380018914411294
3,5.8667899206657355,6.326386989043596,-4.956320852825484
4,,,
5,,,
6,6.288065615471588,5.675774580431625,-3.502425692733389
7,6.385464376883331,5.722846084586451,-3.517573165989277
8,6.241056452011815,5.950566542884083,-2.713298146147615
9,5.261984428812276,6.654602280432159,-1.7199519028403611
10,5.360974362774923,6.737522142828164,-1.6233968214497974
11,5.518561522634557,6.807679696429671,-1.5002684050981772
12,,,
13,,,
14,6.842726052304838,6.7217933209153395,-2.6775562071513237
15,6.805080539320619,6.698138107796227,-3.2022872332745638
16,,,
17,,,
18,,,
19,6.45465638176132,7.342124328950217,-3.8331462817278315
20,,,
21,,,
22,,,
23,7.1296908138413055,6.757572378005384,-4.356937440000085
24,6.70772349252183,6.581962102630675,-4.803459026745876
25,,,
26,,,
27,6.121683627893819,6.666125849593117,-4.112053543888552
28,,,
29,6.383303898278487,6.730715327805961,-4.525453997125315
30,,,
31,5.527068890507292,6.362591177925524,-5.0912346647267475
32,5.608564461730216,6.396202411605033,-5.22965560107373
33,5.490199156922267,6.431829746428501,-5.154569635829325
34,,,
35,5.632593093818068,6.5725433662240125,-5.069282634720823
36,,,
37,4.950428583530226,6.705386095692982,-2.754052885110586
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,5.974337012840439,6.590194841219022,-4.277494634978365
45,,,
46,,,
47,,,
48,,,
49,7.24545370488681,6.9251872797671,-4.373554310639716
50,,,
51,,,
52,,,
53,,,
54,,,
55,6.119702600900619,6.997156254551644,-3.320932286826339
56,6.79734287815306,7.093051495588305,-3.474173968622677
57,7.11029194562754,6.794771935006974,-3.7748426082605073
58,,,
59,,,
60,,,
61,5.910563048305752,6.607396902836896,-5.128798314609978
62,,,
63,,,
64,5.062778841095139,6.283467623591409,-3.3366355736208417
65,5.308420661146529,6.7620778021625485,-2.27375146173559
66,5.549811951047823,6.847823155265482,-1.8046129640232296
67,6.087694037047623,6.602399758252628,-1.8844417391083328
68,,,
69,,,
70,6.50026663788244,6.239512159017623,-2.922878155062794
71,,,
72,,,
73,,,
74,6.97387100054922,7.041697080472182,-4.377036012088998
75,7.052519750235902,7.095047686585204,-4.691492439024347
76,,,
77,,,
78,6.480584204698183,6.618665640135519,-4.478769885362509
79,,,
80,,,
81,,,
82,5.87439989857689,6.896349830755318,-2.915515530752958
83,,,
84,,,
85,7.146502774251443,6.643469964504607,-3.45679198115463
86,7.251655657799,6.342084760926479,-4.133432787652016
87,7.070769494141086,6.4743980590017705,-4.920990245798429
88,6.0052527645825755,6.200787937159387,-5.366721931144235
89,5.600806384300545,6.328960387713809,-5.251424545020622
90,5.255286689837782,6.402294421744209,-5.048885702649482
91,,,
92,,,
93,5.519050490372534,6.582905917213779,-2.697940872677054
